0,1
我起來了,誰起來了
天亮了我起來了太陽也起來了,天亮了誰起來了太陽也起來了
天亮了我起來了太陽也起來了,天亮了我起來了誰也起來了
天亮了我起來了我天天早起太陽也天天早起,天亮了誰起來了我天天早起太陽也天天早起
天亮了我起來了我天天早起太陽也天天早起,天亮了我起來了誰天天早起太陽也天天早起
天亮了我起來了我天天早起太陽也天天早起,天亮了我起來了我何時早起太陽也天天早起
天亮了我起來了我天天早起太陽也天天早起,天亮了我起來了我天天早起誰也天天早起
天亮了我起來了我天天早起太陽也天天早起,天亮了我起來了我天天早起太陽也何時早起
爸爸說他小時候上學看見老師會向老師行禮說老師好,誰說他小時候上學看見老師會向老師行禮說老師好
爸爸說他小時候上學看見老師會向老師行禮說老師好,爸爸說誰小時候上學看見老師會向老師行禮說老師好
爸爸說他小時候上學看見老師會向老師行禮說老師好,爸爸說他何時上學看見老師會向老師行禮說老師好
爸爸說他小時候上學看見老師會向老師行禮說老師好,爸爸說他小時候上學看見誰會向老師行禮說老師好
爸爸說他小時候上學看見老師會向老師行禮說老師好,爸爸說他小時候上學看見老師會向誰行禮說老師好
爸爸說他小時候上學看見老師會向老師行禮說老師好,爸爸說他小時候上學看見老師會向老師行禮說誰好
現在我在泰國上學我看見老師我會雙手合掌向老師行禮說老師好,何時我在泰國上學我看見老師我會雙手合掌向老師行禮說老師好
現在我在泰國上學我看見老師我會雙手合掌向老師行禮說老師好,現在誰在泰國上學我看見老師我會雙手合掌向老師行禮說老師好
現在我在泰國上學我看見老師我會雙手合掌向老師行禮說老師好,現在我在哪裡上學我看見老師我會雙手合掌向老師行禮說老師好
現在我在泰國上學我看見老師我會雙手合掌向老師行禮說老師好,現在我在泰國上學誰看見老師我會雙手合掌向老師行禮說老師好
現在我在泰國上學我看見老師我會雙手合掌向老師行禮說老師好,現在我在泰國上學我看見誰我會雙手合掌向老師行禮說老師好
現在我在泰國上學我看見老師我會雙手合掌向老師行禮說老師好,現在我在泰國上學我看見老師誰會雙手合掌向老師行禮說老師好
現在我在泰國上學我看見老師我會雙手合掌向老師行禮說老師好,現在我在泰國上學我看見老師我會雙手合掌向誰行禮說老師好
現在我在泰國上學我看見老師我會雙手合掌向老師行禮說老師好,現在我在泰國上學我看見老師我會雙手合掌向老師行禮說誰好
背書包上學去,背什麼上學去
我的書包裡有書也有筆,誰的書包裡有書也有筆
我的書包裡有書也有筆,我的什麼裡有書也有筆
我的書包裡有書也有筆,我的書包裡有什麼也有筆
我的書包裡有書也有筆,我的書包裡有書也有什麼
我有四本書我有三枝筆還有一個小皮球也在我的書包裡,誰有四本書我有三枝筆還有一個小皮球也在我的書包裡
我有四本書我有三枝筆還有一個小皮球也在我的書包裡,我有四本什麼我有三枝筆還有一個小皮球也在我的書包裡
我有四本書我有三枝筆還有一個小皮球也在我的書包裡,我有四本書誰有三枝筆還有一個小皮球也在我的書包裡
我有四本書我有三枝筆還有一個小皮球也在我的書包裡,我有四本書我有三枝什麼還有一個小皮球也在我的書包裡
我有四本書我有三枝筆還有一個小皮球也在我的書包裡,我有四本書我有三枝筆還有一個小什麼也在我的書包裡
我有四本書我有三枝筆還有一個小皮球也在我的書包裡,我有四本書我有三枝筆還有一個小皮球也在誰的書包裡
我有四本書我有三枝筆還有一個小皮球也在我的書包裡,我有四本書我有三枝筆還有一個小皮球也在我的什麼裡
小狗小狗跟我來我們比一比看誰跑得快,小誰小狗跟我來我們比一比看誰跑得快
小狗小狗跟我來我們比一比看誰跑得快,小狗小誰跟我來我們比一比看誰跑得快
小狗小狗跟我來我們比一比看誰跑得快,小狗小狗跟誰來我們比一比看誰跑得快
小狗小狗跟我來我們比一比看誰跑得快,小狗小狗跟我來誰比一比看誰跑得快
小狗小狗跟我來我踢球你去追,小誰小狗跟我來我踢球你去追
小狗小狗跟我來我踢球你去追,小狗小誰跟我來我踢球你去追
小狗小狗跟我來我踢球你去追,小狗小狗跟誰來我踢球你去追
小狗小狗跟我來我踢球你去追,小狗小狗跟我來誰踢球你去追
