我,r,代詞,人
起來,v,動詞,x
了,ul,時態助詞 了,x
,,,
我,r,代詞,人
起來,v,動詞,x
了,ul,時態助詞 了,x
,,,
天亮,v,動詞,x
了,ul,時態助詞 了,x
，,x,非語素詞,x
我,r,代詞,人
起來,v,動詞,x
了,ul,時態助詞 了,x
，,x,非語素詞,x
太陽,n,名詞,人
也,d,副詞,x
起來,v,動詞,x
了,ul,時態助詞 了,x
。,x,非語素詞,x
,,,
天亮,v,動詞,x
了,ul,時態助詞 了,x
，,x,非語素詞,x
我,r,代詞,人
起來,v,動詞,x
了,ul,時態助詞 了,x
，,x,非語素詞,x
我,r,代詞,人
天天,t,時間詞,x
早起,v,動詞,x
，,x,非語素詞,x
太陽,n,名詞,人
也,d,副詞,x
天天,t,時間詞,x
早起,v,動詞,x
。,x,非語素詞,x
,,,
爸爸,n,名詞,人
說,z,狀態詞,x
，,x,非語素詞,x
他,r,代詞,人
小,a,形容詞,x
時候,n,名詞,x
上學,v,動詞,x
，,x,非語素詞,x
看見,v,動詞,x
老師,n,名詞,人
，,x,非語素詞,x
會,v,動詞,x
向,p,介詞,x
老師,n,名詞,人
行禮,v,動詞,x
，,x,非語素詞,x
說,z,狀態詞,x
：,x,非語素詞,x
「,x,非語素詞,x
老師,n,名詞,人
好,a,形容詞,x
！,x,非語素詞,x
」,x,非語素詞,x
,,,
現在,t,時間詞,x
，,x,非語素詞,x
我,r,代詞,人
在,p,介詞,x
泰國,ns,地名,地
上學,v,動詞,x
，,x,非語素詞,x
我,r,代詞,人
看見,v,動詞,x
老師,n,名詞,人
，,x,非語素詞,x
我,r,代詞,x
會,v,動詞,x
雙手,n,名詞,物
合掌,v,動詞,x
，,x,非語素詞,x
向,p,介詞,x
老師,n,名詞,人
行禮,v,動詞,x
，,x,非語素詞,x
說,z,狀態詞,x
：,x,非語素詞,x
「,x,非語素詞,x
老師,n,名詞,人
好,a,形容詞,x
！,x,非語素詞,x
」,x,非語素詞,x
,,,
背,v,動詞,x
書包,n,名詞,物
，,x,非語素詞,x
上學,v,動詞,x
去,v,動詞,x
。,x,非語素詞,x
,,,
我,r,代詞,人
的,uj,結構助詞 的,x
書包,n,名詞,物
裡,f,方位詞,x
，,x,非語素詞,x
有書,r,代詞,x
也,d,副詞,x
有,v,動詞,x
筆,q,量詞,物
。,x,非語素詞,x
,,,
我,r,代詞,人
有,v,動詞,x
四本,m,數詞,x
書,n,名詞,物
，,x,非語素詞,x
我,r,代詞,人
有,v,動詞,x
三枝,m,數詞,x
筆,n,名詞,物
，,x,非語素詞,x
還,d,副詞,x
有,v,動詞,x
一個,m,數詞,x
小,a,形容詞,x
皮球,n,名詞,物
，,x,非語素詞,x
也,d,副詞,x
在,p,介詞,x
我,r,代詞,人
的,uj,結構助詞 的,x
書包,n,名詞,物
裡,f,方位詞,x
。,x,非語素詞,x
,,,
小狗,n,名詞,人
，,x,非語素詞,x
小狗,n,名詞,人
跟,p,介詞,x
我,r,代詞,人
來,v,動詞,x
，,x,非語素詞,x
我們,r,代詞,人
