我,r,per
起來,v,x
了,ul,x
,,
我,r,per
起來,v,x
了,ul,x
,,
天亮,v,x
了,ul,x
，,x,x
我,r,per
起來,v,x
了,ul,x
，,x,x
太陽,n,per
也,d,x
起來,v,x
了,ul,x
。,x,x
,,
天亮,v,x
了,ul,x
，,x,x
我,r,per
起來,v,x
了,ul,x
，,x,x
我,r,per
天天,t,x
早起,v,x
，,x,x
太陽,n,per
也,d,x
天天,t,x
早起,v,x
。,x,x
,,
爸爸,n,per
說,z,x
，,x,x
他,r,per
小,a,x
時候,n,x
上學,v,x
，,x,x
看見,v,x
老師,n,per
，,x,x
會,v,x
向,p,x
老師,n,per
行禮,v,x
，,x,x
說,z,x
：,x,x
「,x,x
老師,n,per
好,a,x
！,x,x
」,x,x
,,
現在,t,x
，,x,x
我,r,per
在,p,x
泰國,ns,place
上學,v,x
，,x,x
我,r,per
看見,v,x
老師,n,per
，,x,x
我,r,x
會,v,x
雙手,n,obj
合掌,v,x
，,x,x
向,p,x
老師,n,per
行禮,v,x
，,x,x
說,z,x
：,x,x
「,x,x
老師,n,per
好,a,x
！,x,x
」,x,x
,,
背,v,x
書包,n,obj
，,x,x
上學,v,x
去,v,x
。,x,x
,,
我,r,per
的,uj,x
書包,n,obj
裡,f,x
，,x,x
有書,r,x
也,d,x
有,v,x
筆,q,obj
。,x,x
,,
我,r,per
有,v,x
四本,m,x
書,n,obj
，,x,x
我,r,per
有,v,x
三枝,m,x
筆,n,obj
，,x,x
還,d,x
有,v,x
一個,m,x
小,a,x
皮球,n,obj
，,x,x
也,d,x
在,p,x
我,r,per
的,uj,x
書包,n,obj
裡,f,x
。,x,x
,,
小狗,n,per
，,x,x
小狗,n,per
跟,p,x
我,r,per
來,v,x
，,x,x
我們,r,per
比一比,nr,x
，,x,x
看,v,x
誰,r,x
跑得快,l,x
？,x,x
,,
小狗,n,per
，,x,x
小狗,n,per
跟,p,x
我,r,per
來,v,x
，,x,x
我,r,per
踢球,n,x
，,x,x
你,r,per
去,v,x
追,v,x
。,x,x
,,
我,r,per
踢,v,x
到,v,x
哪裡,r,x
，,x,x
你,r,per
追到,v,x
哪裡,r,x
。,x,x
,,
看,v,x
我,r,per
踢,v,x
得,ud,x
遠,a,x
不遠,d,x
？,x,x
,,
看,v,x
你,r,per
跑得快,l,x
不快,d,x
？,x,x
,,
小方,n,per
喜歡,v,x
上學,v,x
，,x,x
他,r,per
看到,v,x
老師,n,per
說,v,x
：,x,x
「,x,x
老師,n,per
好,a,x
！,x,x
」,x,x
,,
他,r,per
看到,v,x
同學,n,per
說,v,x
：,x,x
「,x,x
同學,n,per
好,a,x
！,x,x
」,x,x
,,
小方,n,per
喜歡,v,x
老師,n,per
，,x,x
老師,n,per
也,d,x
喜歡,v,x
小方,n,per
。,x,x
,,
小方,n,per
喜歡,v,x
同學,n,per
，,x,x
同學,n,per
也,d,x
喜歡,v,x
小方,n,per
。,x,x
,,
公園,n,place
裡,f,x
，,x,x
