句子,喜歡,憤怒,難過,驚訝,害怕,無表情
第一課 我起床了,0,0,0,0,0,1
我起來了,0,0,0,0,0,1
我起來了,0,0,0,0,0,1
天亮了,0,0,0,0,0,1
我起來了,0,0,0,0,0,1
太陽也起來了。,0,0,0,0,0,1
天亮了,0,0,0,0,0,1
我起來了,0,0,0,0,0,1
我天天早起,0,0,0,0,0,1
太陽也天天早起。,0,0,0,0,0,1
第七課 打招呼,0,0,0,0,0,1
爸爸說,0,0,0,0,0,1
他小時候上學,0,0,0,0,0,1
看見老師,0,0,0,0,0,1
會向老師行禮,0,0,0,0,0,1
說：「老師好！」,0,0,0,0,0,1
現在,0,0,0,0,0,1
我在泰國上學,0,0,0,0,0,1
我看見老師,0,0,0,0,0,1
我會雙手合掌,0,0,0,0,0,1
向老師行禮,0,0,0,0,0,1
說：「老師好！」,0,0,0,0,0,1
第三課 我的書包,0,0,0,0,0,1
背書包,0,0,0,0,0,1
上學去。,0,0,0,0,0,1
我的書包裡,0,0,0,0,0,1
有書也有筆。,0,0,0,0,0,1
我有四本書,0,0,0,0,0,1
我有三枝筆,0,0,0,0,0,1
還有一個小皮球,0,0,0,0,0,1
也在我的書包裡。,0,0,0,0,0,1
第九課 小狗跟我來,0,0,0,0,0,1
小狗,0,0,0,0,0,1
小狗跟我來,0,0,0,0,0,1
我們比一比,0,0,0,0,0,1
看誰跑得快？,0,0,0,0,0,1
小狗,0,0,0,0,0,1
小狗跟我來,0,0,0,0,0,1
我踢球,0,0,0,0,0,1
你去追。,0,0,0,0,0,1
我踢到哪裡,0,0,0,0,0,1
你追到哪裡。,0,0,0,0,0,1
看我踢得遠不遠？,0,0,0,0,0,1
看你跑得快不快？,0,0,0,0,0,1
第二課 小方上學,0,0,0,0,0,1
小方喜歡上學,1,0,0,0,0,0
他看到老師說：「老師好！」,0,0,0,0,0,1
他看到同學說：「同學好！」,0,0,0,0,0,1
小方喜歡老師,1,0,0,0,0,0
老師也喜歡小方。,1,0,0,0,0,0
小方喜歡同學,1,0,0,0,0,0
同學也喜歡小方。,1,0,0,0,0,0
第五課 公園裡,0,0,0,0,0,1
公園裡,0,0,0,0,0,1
大樹高,0,0,0,0,0,1
花兒美,0,0,0,0,0,1
還有漂亮的草地。,0,0,0,0,0,1
樹很高,0,0,0,0,0,1
我們不要爬上去。,0,0,0,0,0,1
花很美,0,0,0,0,0,1
我們不要摘下來。,0,0,0,0,0,1
草地很漂亮,0,0,0,0,0,1
我們不要去踩它。,0,0,0,0,0,1
第八課 小方過生日,0,0,0,0,0,1
明天是小方的生日,0,0,0,0,0,1
小方打電話給小亮。,0,0,0,0,0,1
小方說：「小亮,0,0,0,0,0,1
明天是我生日,0,0,0,0,0,1
請你來我家好嗎？」,0,0,0,0,0,1
小亮說：「好啊！我會唱歌給你聽。」,0,0,0,0,0,1
小方說：「你要唱什麼歌？」,0,0,0,0,0,1
小亮說：「我明天再告訴你。」,0,0,0,0,0,1
小方說：「好啊！你明天一定要來！」,0,0,0,0,0,1
第六課 小小鳥兒,0,0,0,0,0,1
小鳥小鳥愛唱歌,0,0,0,0,0,1
你的歌兒真好聽,0,0,0,0,0,1
你唱的是什麼歌？請你告訴我。,0,0,0,0,0,1
小鳥小鳥愛唱歌,0,0,0,0,0,1
你的歌兒真好聽,0,0,0,0,0,1
請你和我一起唱歌,0,0,0,0,0,1
你說好不好？,0,0,0,0,0,1
第十一課 過山洞,0,0,0,0,0,1
坐火車,0,0,0,0,0,1
過山洞,0,0,0,0,0,1
山洞長又長,0,0,0,0,0,1
妹妹學數數兒,0,0,0,0,0,1
看看數到幾,0,0,0,0,0,1
山洞才過完。,0,0,0,0,0,1
坐火車,0,0,0,0,0,1
過山洞,0,0,0,0,0,1
山洞多又多,0,0,0,0,0,1
過了一個又一個,0,0,0,0,0,1
妹妹數不完,0,0,0,0,0,1
數著數著睡著了。,0,0,0,0,0,1
第十三課 我家的院子,0,0,0,0,0,1
我家有一個小院子,0,0,0,0,0,1
媽媽在院子裡掃地,0,0,0,0,0,1
爸爸在院子裡澆花,0,0,0,0,0,1
我在院子裡拍皮球。,0,0,0,0,0,1
我家有一個小院子,0,0,0,0,0,1
小狗在院子裡追小貓,0,0,0,0,0,1
小貓一跳,0,0,0,0,0,1
跳到大樹上。,0,0,0,0,0,1
第十二課 小方數牛,0,0,0,0,0,1
小方趕了十頭牛在路上走。,0,0,0,0,0,1
他怕少了牛,0,0,0,0,1,0
一面走,0,0,0,0,0,1
一面數：「一二三四五六七八九十。」,0,0,0,0,0,1
走啊走,0,0,0,0,0,1
小方走累了。,0,0,0,0,0,1
他騎上了一頭牛,0,0,0,0,0,1
又數著：「一二三四五六七八九。啊！少了一頭牛。」,0,0,0,0,0,1
小方連忙跳下來,0,0,0,0,0,1
再數一數：「一二三四五六七八九十。」,0,0,0,0,0,1
一點兒也不錯。,0,0,0,0,0,1
他又騎上牛,0,0,0,0,0,1
數著：「一二三四五六七八九。」,0,0,0,0,0,1
怎麼又少了一頭？,0,0,0,0,0,1
第十五課 我喜歡大象,1,0,0,0,0,0
泰國有很多大象。,0,0,0,0,0,1
李爺爺家有三頭大象,0,0,0,0,0,1
爸爸帶我去李爺爺家看大象。,0,0,0,0,0,1
我看到大象有一條長長的鼻子,0,0,0,0,0,1
有兩隻大大的耳朵,0,0,0,0,0,1
還有四隻粗粗的腿。,0,0,0,0,0,1
大象又高又大,0,0,0,0,0,1
我喜歡大象。,1,0,0,0,0,0
第十四課 老師說笑話,1,0,0,0,0,0
今天老師說了一個笑話。,1,0,0,0,0,0
有一個人向畫家要一張畫,0,0,0,0,0,1
畫家送他一張白紙。,0,0,0,0,0,1
那個人問：「你畫的是什麼？」,0,0,0,0,0,1
畫家說：「我畫一頭牛在吃草。」,0,0,0,0,0,1
那人問：「草在哪裡？」,0,0,0,0,0,1
畫家說：「草被牛吃了。」,0,0,0,0,0,1
那個人又問：「牛在哪裡？」,0,0,0,0,0,1
畫家回答：「牛吃了草,0,0,0,0,0,1
就回家了。」老師說完笑話,1,0,0,0,0,0
大家都笑了。,1,0,0,0,0,0
第十課 我做一條船,0,0,0,0,0,1
我做一條船,0,0,0,0,0,1
送給姐姐坐,0,0,0,0,0,1
姐姐要去看外婆。,0,0,0,0,0,1
我做一條船,0,0,0,0,0,1
送給哥哥坐,0,0,0,0,0,1
哥哥出海去打魚。,0,0,0,0,0,1
我做一條船,0,0,0,0,0,1
送給弟弟坐,0,0,0,0,0,1
弟弟,0,0,0,0,0,1
弟弟！,0,0,0,0,0,1
你要到哪裡？,0,0,0,0,0,1
第四課 小方學寫字,0,0,0,0,0,1
媽媽教小方寫字。,0,0,0,0,0,1
媽媽說：,0,0,0,0,0,1
寫字要用心,0,0,0,0,0,1
身體要坐正,0,0,0,0,0,1
兩手要放好,0,0,0,0,0,1
一筆一筆的寫,0,0,0,0,0,1
就能寫得很漂亮。,0,0,0,0,0,1
第一課 上學去,0,0,0,0,0,1
開學了,0,0,0,0,0,1
我們走進學校,0,0,0,0,0,1
看到同學都長高了。,0,0,0,0,0,1
大家相見真開心。,1,0,0,0,0,0
上課了,0,0,0,0,0,1
老師教我們讀書,0,0,0,0,0,1
老師教我們寫字,0,0,0,0,0,1
上學真快樂。,1,0,0,0,0,0
下課了,0,0,0,0,0,1
我和同學一起打球,0,0,0,0,0,1
我和同學一起玩耍,0,0,0,0,0,1
上學真快樂。,1,0,0,0,0,0
第七課 看大象表演,0,0,0,0,0,1
星期天的下午,0,0,0,0,0,1
媽媽帶我和弟弟去看大象表演。,0,0,0,0,0,1
大象用鼻子拿起彩色筆畫圖,0,0,0,0,0,1
畫了一座高山,0,0,0,0,0,1
山下有許多樹。,0,0,0,0,0,1
弟弟看了說：「大象真像個大畫家。」,0,0,0,0,0,1
有的大象跟著音樂跳舞,0,0,0,0,0,1
一邊跳舞,0,0,0,0,0,1
一邊向大家要香蕉吃。,0,0,0,0,0,1
媽媽買了香蕉拿給大象,0,0,0,0,0,1
大象拿到香蕉,0,0,0,0,0,1
就向媽媽點點頭,0,0,0,0,0,1
好像說：「謝謝！」,0,0,0,0,0,1
大象的表演真好玩,1,0,0,0,0,0
我還想再去看。,0,0,0,0,0,1
第三課 小星星,0,0,0,0,0,1
夏天的晚上,0,0,0,0,0,1
我們坐在院子裡,0,0,0,0,0,1
看天上的星星。小星星在天空發出亮光,0,0,0,0,0,1
真是好看。,0,0,0,0,0,1
小星星,0,0,0,0,0,1
在遠遠的天空,0,0,0,0,0,1
一閃一閃的,0,0,0,0,0,1
連成了一條星河,0,0,0,0,0,1
真是美麗。,0,0,0,0,0,1
天上的星星,0,0,0,0,0,1
一共有多少？我和弟弟一起數,0,0,0,0,0,1
一二三四五六七八九十,0,0,0,0,0,1
數來數去數不清！,0,0,0,0,0,1
第九課 小方學會新詞語,0,0,0,0,0,1
小方在學校裡,0,0,0,0,0,1
學會了很多詞語,0,0,0,0,0,1
現在他很注意聽大家說的話。,0,0,0,0,0,1
他聽到媽媽說：「我買了一件新衣服,0,0,0,0,0,1
很滿意。」,1,0,0,0,0,0
他聽到爸爸說：「我做完一件事,0,0,0,0,0,1
很得意。」,0,0,0,0,0,1
他聽到哥哥說：「我跟校長一起照相,0,0,0,0,0,1
很神氣。」,0,0,0,0,0,1
看來,0,0,0,0,0,1
全家人都很開心！,1,0,0,0,0,0
第二課 小毛蟲,0,0,0,0,0,1
小毛蟲,0,0,0,0,0,1
真可愛。,0,0,0,0,0,1
喜歡爬呀爬！,1,0,0,0,0,0
爬到樹上吃葉子。,0,0,0,0,0,1
小毛蟲,0,0,0,0,0,1
真可愛。,0,0,0,0,0,1
爬到樹上去喝水。,0,0,0,0,0,1
小毛蟲,0,0,0,0,0,1
真可愛。,0,0,0,0,0,1
又吃又喝不偷懶,0,0,0,0,0,1
快快長大變蝴蝶。,0,0,0,0,0,1
變成蝴蝶飛呀飛,0,0,0,0,0,1
快樂飛在花園中。,1,0,0,0,0,0
第五課 春天來了,0,0,0,0,0,1
花園裡,0,0,0,0,0,1
草綠了,0,0,0,0,0,1
花開了。,0,0,0,0,0,1
媽媽說：「天氣暖和了,0,0,0,0,0,1
春天來了。」,0,0,0,0,0,1
弟弟問媽媽：「春天在哪裡？」,0,0,0,0,0,1
媽媽說：「大地開滿了花,0,0,0,0,0,1
就是春天來了。」,0,0,0,0,0,1
弟弟又問：「春天是怎麼來的？是坐車來的？還是走來的？」,0,0,0,0,0,1
媽媽笑著對弟弟說：「春天不坐車,1,0,0,0,0,0
也不走路,0,0,0,0,0,1
只要花開了,0,0,0,0,0,1
