一 自然數的開始，」大寫作「壹」，阿拉伯數字作「1」，姓，如明代有一炫宗，二一四部首之一，單個，相同、一致，專注的，全、滿、整，每、各，一次，另外的，統一，才、剛剛，偶然，表示加強的動作或突然的現象，概括，每每、每逢，放在二疊字動詞之間，表行為是不費力或嘗試性的，事物的某方面，竟、乃，表示事出意外，皆，表示程度，加強語氣，或，（「一」字單用或在一詞一句的末尾，念陰平聲；在去聲字前，念陽平聲；在陰平、  陽平、上聲之前，念去聲，)，一
一一 逐一、一個接一個，逐一，，一一
一下子 一次、一回，」也作「一下」，極短的時間或突然迅速的動作，」也作「一下」，附於動詞後面，有略微的意思，」也作「一下」，，一下子
一些 少數、一部分，」也作「一點」、「一些個」、「一絲」，，一些
一共 一同，總共，，一共
一再 一次又一次的，頻頻,屢屢,屢次,幾次,再三，，一再
一切 一例、一律，全部、所有，為總括之詞，，一切
一半 二分之一，，一半
一口氣 連續不斷，胸中的一口怨氣，一口氣息，用以比喻生命，，一口氣
一同 統一，一樣，一起、相偕，，一同
一向 從來、一直，從來,一直，同一趨向，片刻，一段時間，，一向
一味 專一，總是、一直，」 也作「一昧」，只具一味的菜餚，中醫上稱藥一種為「一味」，，一味
一塊 單數的塊狀物，一同、一起，，一塊
一塊兒 單數的塊狀物，一同、一起，，一塊兒
一大早 形容時間相當早，，一大早
一天到晚 成天、整天，，一天到晚
一如 完全一樣，，一如
一定 一經確定，固定不變，必然，相當的，，一定
一家人 同一家庭中的成員，同一家族中的成員，同道中人，，一家人
一帶 形容景物綿長似帶子，一大片，泛指某處及附近相連屬的地方，，一帶
一度 一次，曾經有過一次，計量單位，如電能計量以一仟瓦小時為一度，，一度
一律 同等、一致，劃一,一致，，一律
一心 同心，專一其心、全心全意，專心，，一心
一方面 整體中，可獨立出的另一系統，，一方面
一旁 一邊、一側，，一旁
一旦 忽然有一天，」也作「一朝」，一日之間，假設有一天，，一旦
一時 一個時辰，一個季節，一段時間，當代、一個時代，同時，短時間內，即刻、突然，」　也作「一時間」、「一時之間」，暫時，一旦，，一時
一會兒 片刻，短暫時間，」也作「會子」、「會兒」、「一會」、「一會子」，須臾,轉瞬,一忽兒，特指時候，張千你與大房吏典休要大驚小怪的，老夫暫時歇息咱，」也作「會子」、「會兒」、「一會」、「一會子」，，一會兒
一概 概，為古代平斗斛的木條，一概引申為同一標準，相同、一律，一端、一面，全部，，一概
一樣 相同、相似，相同，一種，一般，，一樣
一流 同類，同一流派，凡學術同出一源者，稱為「一流」，第一等，一種古錢幣計算的名稱，朱提銀重八兩，稱為「一流」，，一流
一生 畢生、一輩子，一書生，，一生
一直 正朝著某方向，一程、一段路程，持久不變、連續不斷，不斷,一貫,一向，寫字一豎畫稱為「一直」，，一直
一致 趨向合一，一律，，一致
一般 一樣、相同，普通、通常，通常，一番、一種，，一般
一般而言 就通常的情況來說，，一般而言
一貫 」後以一貫指以一種道理貫通萬事萬物，依照一定法則，始終不變，一直，同一道理，舊以千錢為一貫，成串的物品，，一貫
一起 一塊兒，一批、一伙，」也作「一起子」，案件一宗，，一起
一轉眼 形容極短的時間，，一轉眼
一連 連續不斷，連續，連，為秤的量詞，一連指一桿，，一連
一連串 連續不斷，，一連串
一道 唯一的方法，一條通路，一起、一並，」也作「一道兒」，量詞，，一道
一面 一個完整的部分，兩種動作同時進行時，用「一面」以為副詞，見面一次，另一個角度或另一種面目，單一方面，滿臉，，一面
一點 形容極小或些許，」，」也作「一些」，輕微的接觸或提示，事物的某一問題或某一方面，一天中的第一時與第十三時均稱為「一點」，書法中的一畫，即「、」，永字八法中稱為「側」，，一點
一點兒 形容體積極小，或數量極少，，一點兒
一齊 一律、同樣，一同、同時，統一平治，一切、完全，，一齊
丁 天干的第四位，排列次序的等第，在甲、乙、丙之後，表示第四級，或較差的等級，成年男子，人、人口，僕役，或指從事某些勞動或職業的人，方形的小塊，姓，如漢代有丁令威，清代有丁汝昌，當、遭逢，壯盛的，極少的、極小的，參見「丁丁」條，，丁
七 介於六與八之間的自然數，大寫作「柒」，阿拉伯數字作「7」，文體名，參見「七體」條，民俗稱喪事每七日設奠一次為「作七」，由頭七到尾七共需進行七次，稱為「七七」，），七
丈 量詞，計算長度的單位，公制一丈等於十公尺，」(2) 對姻親尊長的稱呼，測量，，丈
丈夫 身高一丈的男子，周朝以八寸為尺，十尺為丈，成年男子高八尺左右，故以丈夫為男子的通稱，男子　3.夫君,良人，英武有志節的男子，稱謂，婦人稱與自己有婚姻關係的男子，，丈夫
三 介於二和四之間的自然數，大寫作「参」，阿拉伯數字作「3」，姓，如明代有三成志，第三位的，表多數或多次的，屢次、再三，參見「三思」、「三復」等條，，三
三明治 一種西方簡餐，為英語sandwich的音譯，即在數片土司麵包間夾以肉類、蔬菜、沙拉等配料所成，相傳十八世紀時，英國第四代sandwich伯爵為了通宵賭博而創，現已普遍當做早餐或點心食用，也譯作「三味治」、「三文治」，，三明治
三角形 三線段在平面上圍成的圖形，有三邊三角，故稱為「三角形」，，三角形
上 物體的表面、高處或邊側，皇帝，尊長或在上位的人，首座，表示範圍或某方面，升、由下而上，去、到，進呈，添加，教讀，安裝，旋緊，登載，塗抹， 表示動作的發生或結果， 表示動作的開始或繼續， 表動作的方向，最好的、優等的，地位高，在前面的，接近、將近，表時間或次序在前，參見「上聲」條，，上
上下 上升下降，增減，泛指相對的兩個方向，如高低、尊卑、優劣、天地、神人、古今等，隨文而異，左右、相差無幾，公差、衙役，問謝世者或釋家之名諱，如:「請教令師上下？」，上下
上升 升高、向上攀升，，上升
上午 夜半一時至正午十二時，一般則以清晨至正午十二時為上午，上晝，，上午
上司 漢時對三公的稱呼，」後泛指高官，」上級長官，上級，，上司
上吊 自縊，將繩子吊在高處，套住脖子自殺，」也作「上弔」，投繯,懸梁,自縊，，上吊
上好 最好，多指物品的質料而言，，上好
上學 學習的最高境界，到校上課或入學念書，，上學
上市 某一物品開始在市場上發售，到市場去，，上市
上帝 天帝，君主、帝王，基督教徒稱所信仰、崇拜的神為上帝，，上帝
上旬 十日為一旬，每月的前十日，稱為「上旬」，，上旬
上游 河流的發源地及其鄰近的區域，前列，上司、上級，，上游
上演 演出、放映，，上演
上漲 水位或物價升高，，上漲
上班 在規定的時間，到固定場所工作，，上班
上當 吃虧、受騙，被騙,受騙,受愚,上圈套，，上當
上癮 特別喜愛某種事物或慣用某種食物而成為癖好，，上癮
上空 天空，裸露上半身，，上空
上級 同一組織、系統中，階級較高的單位或個人，上司，，上級
上網 將線路連結接上網路或將資訊提供掛上網站，(2) 資訊上網，即建立WWW 網站，陳列資訊供人查閱，成為網際網路資訊提供者，，上網
上臺 上司，登上舞臺或講臺，比喻出任官職或掌權，，上臺
上街 到街上去，，上街
上衣 上身所穿的衣服，，上衣
上課 老師教課或學生聽課，，上課
上路 動身出發，死亡，大路，領會、了解，，上路
上述 以上所陳述的內容，多用於文章段落或條文等的結尾，，上述
上進 求進步，長進，，上進
上門 登門，關門，，上門
上面 物體的表面，前頭，上級、上司，方面，裡面，，上面
上頭 舊時女子加笄、男子加冠的儀式，舊時女子出嫁，將頭髮挽上去結成髮髻的儀式，娼妓首次接客，序列的前端，上面、上邊，主子、上司，，上頭
下 低處、底部，與「上」相對，稱隸屬於人者、地位較低者，內、裡面，方面，在某個期間或時節，量詞，計算動作次數的單位，由高至低、降落，攻克，放入、投入，進入，拆卸、除去，離去、退場，結束工作或學習，頒布、傳達，投送， 從事、使用， 往、到， 輕視， 謙抑、謙讓， 生、生產， 住宿、留宿， 做出某種說明、決定， 低於、少於，等級低，在後面的，身分微賤的，自謙之詞，表示動作完成或結束，降低身分，容納，，下
下來 自上而下，下面，放在動詞後，表示動作的開始、進行或完成，用在形容詞後，表示程度漸漸增加，用在時間量詞後，表示一段時間的終結，，下來
下列 末等、末位，下面所列舉，，下列
下午 午後的時間，指從中午十二點以後到黃昏以前的一段時間，下晝，，下午
下午茶 本指下午四點至五點時，所吃的茶點，為流行於西洋社會的正規活動，後比喻午後的社交活動或休息時間，，下午茶
下去 自上而下，用在動詞後，強調由上向下之意，用在動詞後，表示事情繼續進行，用在形容詞後，表示程度漸漸增加，，下去
下巴 下頷，面部嘴脣以下的部位，，下巴
下旬 十日為旬，每月最後的十天，稱為「下旬」，，下旬
下棋 對奕，奕棋，，下棋
下水 進入水裡，放水，自上游順流而下，比喻從事賭、嫖、偷、盜等勾當，將船舶從船臺、船塢等建造區域，移至水域的過程，稱為「下水」，動物的內臟，，下水
下水道 排洩雨水、汙水等的管道，，下水道
下游 江河水流靠近出海口的地方，亦指下游附近的地區，下流，比喻落後的地位，，下游
下滑 下降、滑落，，下滑
下班 末席，工作時間結束，離開工作處所，放工，，下班
下筆 落筆為文或書畫，，下筆
下課 教學活動結束，，下課
下跌 下降、下落，，下跌
下降 自高處落下，品質、程度、數量等變差或減少，低落，公主出嫁，蒞臨，，下降
下雨 水滴自大氣中掉落到地球表面，，下雨
下雪 雪花飄落，，下雪
下面 在某物之下，」也作「下邊」，次序較後的部分或位次較低的地方，」也作「下邊」，部屬，」也作「下邊」，，下面
不 否定詞，有不是、未、非等義，與「就」連用，表示有所選擇的意思，用於句末，表示疑問的語氣，用來加強語氣，往往與「好」字連用，置於句中，用來調整音節，沒有特殊含義，（「不」字在去聲字之前，變讀為陽平，）姓，如晉朝有不準，表示否定，表示疑問、未定，花萼上的蒂，，不
不下 不少於、不低於，不相讓，，不下
不久 時間不長，未幾，，不久
不介意 不看重、不放在心上，」也作「不在乎」，無所謂，，不介意
不但 不僅、不只，表示更進一層的意思，不單﹑不光﹑不僅﹑不只，，不但
不便 不方便、不適宜，未便，缺少錢用，，不便
不僅 不止、不單，不單,不但,不光，，不僅
不免 必然，免不了，難免,未免，，不免
不公 不公平、不公道，，不公
不再 不重複或沒有下一次，不繼續，，不再
不凡 不尋常、不平凡，，不凡
不到 不料，不至於，不會，不至、不及，，不到
不力 不盡力、未用心力，，不力
不動產 凡土地及附著於土地的定著物及改良物，統稱為「不動產」，，不動產
不及 比不上，」也作「不如」、「不若」，不能，時間上做不到，不足、不滿，，不及
不同 不一樣，差別﹑差異，，不同
不在意 不放在心上，指對某事物不關心或不介意，，不在意
不堪 不能勝任，不勝，無法忍受，極壞，，不堪
不大 不十分、不完全，，不大
不好意思 羞澀、害羞，礙於情面而不便或不肯，，不好意思
不好看 情面上過意不去，儀表打扮不美，，不好看
不如 比不上，」也作「不及」、「不若」，，不如
不妨 很、非常，說不定，可以，可以，沒關係、不礙事，可以，，不妨
不安 心裡過意不去，不高興、不愉快，不舒服、不舒適，不甘心於某種景況，，不安
不宜 不當、不適宜，，不宜
不客氣 不遵守應有的謙讓禮儀，，不客氣
不容 不能容納，不許、不能寬容，，不容
不容易 困難、不簡單，，不容易
不尋常 特別、不同於平常，，不尋常
不少 很多，，不少
不平 凹凸、不平坦，不公平，心中不滿意，含有氣憤的意味，不服，身體不適，，不平
不平凡 超出常人，相當傑出，，不平凡
不幸 倒楣、運氣不好，泛指沒有福分，意外的災禍，死亡，，不幸
不得 不能、不可以，」也作「不的」，不會，不被，，不得
不得不 必須，必要如此，，不得不
不得了 表示事態嚴重，形容程度很深，，不得了
不得已 非心中所願，無可奈何，不能不如此，，不得已
不必 不需要、沒有必要，不用,毋庸，，不必
不惜 捨得、不足惜，不吝，不顧、不計，，不惜
不懈 不怠惰，不息，，不懈
不成 無所成就，不行，不可,不行,弗成，難道，表示反詰的語氣，，不成
不敢當 承受不起、不敢接受，多用以表示謙讓，不妥當、不得體，，不敢當
不料 沒想到、意想不到，不意﹑不虞，，不料
不斷 持續不間斷，不停﹑不絕﹑繼續﹑一直﹑無間，，不斷
不時 非其時，不合時，隨時、時時，忽然，非在預定時間內，，不時
不會 不至於，不見，不會面，不能，不，，不會
不止 不停，繼續不斷，超出某一特定的範圍或數目，」也作「不則」、「則不」，，不止
不法 違反法律的意圖或行為，非法﹑作惡﹑違法，，不法
不滿 不足、不夠，不滿意，，不滿
不然 不如此、不這樣，否則，難不成、莫不是，否定對方所說的話，不如，不行、行不通，不悅、不高興，，不然
不用 不必、不需要，不消，，不用
不用說 不需要解說即可明白，」也作「不消說」，不要對方再繼續說下去，，不用說
不由得 不容許，」也作「不由的」、「由不得」，忍不住、不能自制，」也作「不由的」、「由不得」，，不由得
不當 不合時機，不算，並非，不應該，不合適、不恰當，不妥，，不當
不知不覺 未曾經意，不注意，，不知不覺
不禁 控制不住，禁不起，，不禁
不等 不齊、不同、不一樣，不候、不等待，，不等
不管 不看顧，不理會，不論，不論，不顧忌，不會，不准、不許，，不管
不耐煩 急躁而無耐心的樣子，』」也作「不奈煩」，不舒服，沒完沒了，十分、不得了，有一段很長的時間，』」也作「不耐心煩」，，不耐煩
不肖 子不似父，不賢，無才能，品性不良，不孝﹑忤逆，，不肖
不至於 表示不會到某種地步，，不至於
不致 尚且不會，，不致
不致於 不會導致某種結果，，不致於
不良 不善、不正常，冤家，男女對自己心上人的暱稱，，不良
不要 要的相反詞，禁戒之詞，不可，有委婉勸阻的意思，，不要
不見 沒看見，消失，不願見面，，不見
不見得 不一定，，不見得
不許 不允許，不准，，不許
不論 不管如何、不顧一切，不管﹑不計﹑不拘﹑無論﹑勿論，不計較、不講求，不但、不僅，不說，不議論，，不論
不足 不值得，不敷，不夠，不敷，不能，不難，有怨憾，對人不滿，，不足
不過 僅僅，只，指不超出某種範圍，無法超越、凌駕，但是，但是，放在形容詞後面，表示非常的意思，放在動詞後面，指完成不了或承受不了此事，，不過
不錯 對、正確，表示肯定，不壞，明察、明白，」也作「不阻」，，不錯
不顧 不看顧、不照料，不理會，掉臂，不顧慮，指不去計較或無法考慮，，不顧
不高興 內心不痛快，，不高興
且 暫時，將要，只，又、並，況、何況，尚、還，抑、或者，表示同時做兩件事情，農曆六月，用於句末，無義，，且
世 三十年稱為「一世」，父子相繼稱為「一世」，即一代，朝代，時代，年、歲，量詞，計算一生、一輩子的單位，世界、世間、世人，姓，如戰國時秦國有世鈞，與先輩有交誼的，世間的、世俗的，累代的，，世
世事 士農工商之事，世間的種種事情，」亦可專指為人處事、應對進退的事務，世事
世代 朝代，年代，累世，累代，，世代
世界 」(2) 指一尊佛所教化的國土，」天下，世上、人間，地球上的所有地方或國家，自成體系的組織或現象，，世界
世紀 計算年代的單位，歐美各國以耶穌降生的那年為紀元，每經一百年為一世紀，，世紀
世間 人世間、世界上，凡間,塵寰,塵間,塵世,人間，，世間
丘陵 土山，也指高低不平的地區，墳墓，地理學上指高度次於山岳的起伏地形，，丘陵
丙 天干的第三位，用來排列次序等第，在甲、乙之後，表示第三，火的別稱，如火災稱為「付丙」，姓，如漢代有丙吉，，丙
丟 遺失、失去，扔、拋棄，遞、投送，擱置，，丟
丟人 丟臉、出醜，，丟人
丟棄 丟掉、拋棄，丟掉,甩掉，，丟棄
丟臉 出醜、失面子，」也作「丟面子」、「丟體面」，出醜，，丟臉
丟面子 出醜，失面子，，丟面子
並 併合，兩種或兩種以上的事物並排著，一起、同時，用於否定詞前，以加強否定語氣，相當於「絕」、「決」，」、「你別誤會，我並無惡意，」皆、俱，」且、而且，相當於「連」、「同」，依傍，，並
並且 而且，通常連接兩個句子，是用以表示平列或進一層意義的連詞，，並且
並列 並排齊列，位置不分前後或主次，同時存在，引申有地位相當、勢力相等的意義，，並列
並重 同等重要，，並重
中 距離四方或兩端相等的部位，內、裡面，泛指某一時期以內，中華民國的簡稱，姓，如漢代有中京，居間介紹、連絡的，居於高低、大小、好壞之間的，半，正好，表示動作正在進行，達到要點，合、正對上，遭受、感染，得，考取，，中
中午 白天十二點左右的時間，正午，，中午
中和 儒家以中正平和為中庸之道的精神修養，後亦泛指平衡穩定、不受干擾的狀態，中和反應的簡稱，參見「中和反應」條，地名，隸屬新北市中和區，北側緊臨板橋區，南接土城、新店，東界永和區，以舊時的中坑、漳和二莊而得名，民國六十八年一月一日，與永和同時升格為縣轄市，民國九十九年十二月二十五日又改制為中和區，在建設上，一度落後永和甚多，自華中橋通車後，發展迅速，已能與永和並駕齊驅，臺北捷運中和線通車後，更加速了繁榮，境內名勝古蹟首推圓通寺，，中和
中國 上古時代，漢族文化發源黃河流域，以為居天下之中，故稱其地為「中國」，後各朝疆土漸廣，凡所轄境，皆稱為「中國」，朝廷，京師，，中國
中央 中間或中心地方，指國君，最高政府所在地，相對於地方而言，，中央
中學 清末到五四運動前後對我國傳統學術的稱呼，實施中等教育的學校，程度在小學、大學之間，舊分初高兩級，期限各三年，今初級中學已劃入國民教育範疇，，中學
中年 四、五十歲左右的年紀，中期，中間階段，隔年，，中年
中庸 待人處事不偏不倚，無過無不及，才德平凡，指一般常人，禮記篇名，相傳為子思所作，闡述中庸之道，宋朱熹將其從禮記中抽出，與《大學》、《論語》、《孟子》合為四書，流行語，中間很臃腫，，中庸
中心 心中、內心，正中央的位置，核心，事物的主體，核心,焦點，泛指某一特定性質，具樞紐地位的地點，，中心
中文 特指漢族的語言及文字，漢文,華文，，中文
中斷 從中截斷或折斷，中途停止或斷絕，中止,終止，，中斷
中旬 每月十一日到二十日，中年，，中旬
中暑 曝露於太陽底下所引起的病症，出現痙攣、昏睡、體溫升高等症狀，，中暑
中毒 人或動物由於某些有害的化學物質進入體內，導致生理機能障礙或死亡的現象，患者  一般會有噁心、嘔吐、腹瀉、頭痛，眩暈等症狀，思想受到蠱惑，信服邪說謬論，，中毒
中獎 因摸彩、獎券或統一發票等對號，而獲得獎品或獎金，，中獎
中立 居中站立，處於對立的各方之間，不傾向任何一方，獨立自主，意志堅屹不搖，，中立
中級 介於高級與低級、上階層與下階層之間的等級，，中級
中肯 比喻言詞切實扼要，恰到好處，，中肯
中葉 朝代或世紀的中期，，中葉
中藥 中醫所用的藥物，多取自植物、動物、動物及礦物等，，中藥
中途 半路，」也作「中塗」，半途，指人生或事情在進行過程中，，中途
中部 中間的部分，，中部
中醫 研習我國固有的醫術，以治療疾病的醫生，別於西醫而言，，中醫
中間 位置居中的房間，裡面，位於兩者或兩者以上當中，在事情進行的時候，，中間
中風 腦溢血的別稱，參見「腦溢血」條，，中風
中餐 午飯，中式的飯菜，別於西餐而言，，中餐
串 把東西連貫在一起，勾結做壞事，扮演，隨意往來、走動，連接錯亂，量詞，計算成串物品的單位，，串
主人 擁有主權的人，東家，相對於賓客而言，，主人
主人翁 主人，」也作「主人公」，主要人物，，主人翁
主任 機關部門中，主持某事並負全部責任的人，，主任
主力 主要力量，股票術語，指專以技術性方式控制股價漲跌變化的大戶，，主力
主動 能照自己意思而進行的動作，相對於被動而言，自動，，主動
主婦 正室、正妻，一家的女主人，，主婦
主宰 支配、控制、掌握，具有支配、制裁事物能力的主體，，主宰
主導 主要策動、引導，，主導
主席 主持會議並維持會場秩序的人，委員制的黨政機關組織，稱其領袖為「主席」，主人所坐的位次，，主席
主張 對事物所抱持的意見，做主、決定，把持，主宰，，主張
主意 立定的心意、辦法，」也作「主見」，辦法,想法,主見,宗旨，，主意
主持 主導、管理，主理，管理者、主宰者，主張，，主持
