0,1,2,3,4
人1 + 事1 + ul1,誰 + 事1 + ul1,我起來了,誰起來了,我
人1 + d1 + 事1 + ul1,誰 + d1 + 事1 + ul1,太陽也起來了,誰也起來了,太陽
人1 + d1 + 時1 + v1,誰 + d1 + 時1 + v1,太陽也天天早起,誰也天天早起,太陽
人1 + v1 + v2,誰 + v1 + v2,小方喜歡上學,誰喜歡上學,小方
人1 + v1 + 人2,誰 + v1 + 人2,小方喜歡老師,誰喜歡老師,小方
人1 + v1 + 人2,人1 + v1 + 誰,小方喜歡老師,小方喜歡誰,老師
人1 + d1 + v1 + 人2,人1 + d1 + v1 + 誰,老師也喜歡小方,老師也喜歡誰,小方
人1 + d1 + v1 + 人2,誰 + d1 + v1 + 人2,老師也喜歡小方,誰也喜歡小方,老師
人1 + v1 + 人2,誰 + v1 + 人2,小方喜歡同學,誰喜歡同學,小方
人1 + v1 + 人2,人1 + v1 + 誰,小方喜歡同學,小方喜歡誰,同學
人1 + d1 + v1 + 人2,人1 + d1 + v1 + 誰,同學也喜歡小方,同學也喜歡誰,小方
人1 + d1 + v1 + 人2,誰 + d1 + v1 + 人2,同學也喜歡小方,誰也喜歡小方,同學
人1 + v1 + m1 + 物1,人1 + v1 + m1 + 什麼,我有四本書,我有四本什麼,書
人1 + v1 + m1 + 物1,誰 + v1 + m1 + 物1,我有四本書,誰有四本書,我
人1 + v1 + m1 + 物1,人1 + v1 + m1 + 什麼,我有三枝筆,我有三枝什麼,筆
人1 + v1 + m1 + 物1,誰 + v1 + m1 + 物1,我有三枝筆,誰有三枝筆,我
人1 + v1 + 人2 + v2 + n1,人1 + v1 + 誰 + v2 + n1,媽媽教小方寫字,媽媽教誰寫字,小方
人1 + v1 + 人2 + v2 + n1,誰 + v1 + 人2 + v2 + n1,媽媽教小方寫字,誰教小方寫字,媽媽
人1 + v1 + v2 + n1 + v3 + v4 + n2,誰 + v1 + v2 + n1 + v3 + v4 + n2,媽媽說寫字要用心,誰說寫字要用心,媽媽
物1 + a1,什麼 + a1,大樹高,什麼高,大樹
物1 + a1,什麼 + a1,花兒美,什麼美,花兒
時1 + v1 + 人1 + uj1 + t1,人1 + uj1 + t1 + v1 + 什麼時候,明天是小方的生日,小方的生日是什麼時候,明天
時1 + v1 + 人1 + uj1 + t1,時1 + v1 + 誰 + uj1 + t1,明天是小方的生日,明天是誰的生日,小方
人1 + v1 + n1 + p1 + 人2,誰 + v1 + n1 + p1 + 人2,小方打電話給小亮,誰打電話給小亮,小方
人1 + v1 + n1 + p1 + 人2,人1 + v1 + n1 + p1 + 誰,小方打電話給小亮,小方打電話給誰,小亮
時1 + 人1 + v1 + ul1 + m1 + 事1,人1 + 什麼時候 + v1 + ul1 + m1 + 事1,今天老師說了一個笑話,老師什麼時候說了一個笑話,今天
人1 + v1 + 物1 + p1 + r1,人1 + v1 + 什麼 + p1 + r1,那人問草在哪裡,那人問什麼在哪裡,草
人1 + n1 + v1 + m1 + 物1,誰 + n1 + v1 + m1 + 物1,李爺爺家有三頭大象,誰家有三頭大象,李爺爺
人1 + v1 + 人2 + v2 + 人3 + n1 + v3 + 物1,誰 + v1 + 人2 + v2 + 人3 + n1 + v3 + 物1,爸爸帶我去李爺爺家看大象,誰帶我去李爺爺家看大象,爸爸
人1 + v1 + 人2 + v2 + 人3 + n1 + v3 + 物1,人1 + v1 + 誰 + v2 + 人3 + n1 + v3 + 物1,爸爸帶我去李爺爺家看大象,爸爸帶誰去李爺爺家看大象,我
人1 + v1 + 物1,誰 + v1 + 物1,我喜歡大象,誰喜歡大象,我
人1 + v1 + 物1,人1 + v1 + 什麼,我喜歡大象,我喜歡什麼,大象
v1 + ul1 + 人1 + v2 + 地1,v1 + ul1 + 人1 + v2 + 哪裡,開學了我們走進學校,開學了我們走進哪裡,學校
人1 + v1 + 人2 + v2 + n1,人1 + v1 + 誰 + v2 + n1,老師教我們寫字,老師教誰寫字,我們
人1 + v1 + 人2 + v2 + n1,誰 + v1 + 人2 + v2 + n1,老師教我們寫字,誰教我們寫字,老師
v1 + ul1 + 人1 + c1 + 人2 + m1 + v2,v1 + ul1 + 人1 + c1 + 誰 + m1 + v2,下課了我和同學一起打球,下課了我和誰一起打球,同學
人1 + c1 + 人2 + m1 + v1,人1 + c1 + 誰 + m1 + v1,我和同學一起玩耍,我和誰一起玩耍,同學
v1 + 地1 + v2 + 物1,v1 + 哪裡 + v2 + 物1,爬到樹上吃葉子,爬到哪裡吃葉子,樹上
v1 + 地1 + v2 + 物1,v1 + 地1 + v2 + 什麼,爬到樹上吃葉子,爬到樹上吃什麼,葉子
v1 + 地1 + v2 + v3,v1 + 哪裡 + v2 + v3,爬到樹上去喝水,爬到哪裡去喝水,樹上
v1 + 地1 + v2 + v3,v1 + 地1 + v2 + 什麼,爬到樹上去喝水,爬到樹上去什麼,樹上
時1 + uj1 + 時2,什麼 + uj1 + 時2,夏天的晚上,什麼的晚上,夏天
時1 + uj1 + 時2,時1 + uj1 + 什麼時候,夏天的晚上,夏天的什麼時候,晚上
時1 + uj1 + 時2,哪天 + uj1 + 時2,夏天的晚上,哪天的晚上,夏天
v1 + 地1 + uj1 + 物1,v1 + 哪裡 + uj1 + 物1,看天上的星星,看哪裡的星星,天上
v1 + 地1 + uj1 + 物1,v1 + 地1 + uj1 + 什麼,看天上的星星,看天上的什麼,星星
a1 + 物1 + p1 + 地1 + v1 + n1,a1 + 物1 + p1 + 哪裡 + v1 + n1,小星星在天空發出亮光,小星星在哪裡發出亮光,天空
人1 + c1 + 人2 + m1 + v1,人1 + c1 + 誰 + m1 + v1,我和弟弟一起數,我和誰一起數,弟弟
v1 + 物1 + 物2 + v2 + ul1,v1 + 物1 + 什麼東西 + v2 + ul1,下過雨太陽出來了,下過雨什麼東西出來了,太陽
a1 + uj1 + 物1,a1 + uj1 + 什麼,美麗的虹,美麗的什麼,虹
v1 + m1 + n1 + uj1 + 物1,v1 + m1 + n1 + uj1 + 什麼,是一座七色的橋,是一座七色的什麼,橋
人1 + v1 + ul1 + 物1,誰 + v1 + ul1 + 物1,我種了山茶花,誰種了山茶花,我
人1 + v1 + ul1 + 物1,人1 + v1 + ul1 + 什麼,我種了山茶花,我種了什麼,山茶花
人1 + v1 + v2 + 物1,誰 + v1 + v2 + 物1,弟弟要種香蕉,誰要種香蕉,弟弟
時1 + uj1 + 時2,什麼 + uj1 + 時2,星期天的下午,什麼的下午,星期天
時1 + uj1 + 時2,時1 + uj1 + 什麼時候,星期天的下午,星期天的什麼時候,下午
時1 + uj1 + 時2,哪天 + uj1 + 時2,星期天的下午,哪天的下午,星期天
人1 + v1 + 人2 + c1 + 人3 + v2 + v3 + 人4 + v4,人1 + v1 + 人2 + c1 + 誰 + v2 + v3 + 人4 + v4,媽媽帶我和弟弟去看大象表演,媽媽帶我和誰去看大象表演,弟弟
人1 + v1 + 人2 + c1 + 人3 + v2 + v3 + 人4 + v4,人1 + v1 + 人2 + c1 + 人3 + v2 + v3 + 誰 + v4,媽媽帶我和弟弟去看大象表演,媽媽帶我和弟弟去看誰表演,大象
人1 + v1 + ul1 + 物1 + v2 + p1 + 人2,人1 + v1 + ul1 + 什麼 + v2 + p1 + 人2,媽媽買了香蕉拿給大象,媽媽買了什麼拿給大象,香蕉
人1 + v1 + ul1 + 物1 + v2 + p1 + 人2,人1 + v1 + ul1 + 物1 + v2 + p1 + 誰,媽媽買了香蕉拿給大象,媽媽買了香蕉拿給誰,大象
