ID,article,que,rule,que_transfer,ans,ans_word
2,我_人1 起來_事1 了_ul1,誰起來了?,人1 + 事1 + ul1,誰 + 事1 + ul1,人1,我
4,太陽_人1 也_d1 起來_事1 了_ul1,誰也起來了?,人1 + d1 + 事1 + ul1,誰 + d1 + 事1 + ul1,人1,太陽
6,太陽_人1 也_d1 天天_時1 早起_v1,誰也天天早起?,人1 + d1 + 時1 + v1,誰 + d1 + 時1 + v1,人1,太陽
8,小方_人1 喜歡_v1 上學_v2,誰喜歡上學?,人1 + v1 + v2,誰 + v1 + v2,人1,小方
9,小方_人1 喜歡_v1 老師_人2,誰喜歡老師?,人1 + v1 + 人2,誰 + v1 + 人2,人1,小方
10,小方_人1 喜歡_v1 老師_人2,小方喜歡誰?,人1 + v1 + 人2,人1 + v1 + 誰,人2,老師
11,老師_人1 也_d1 喜歡_v1 小方_人2,誰喜歡小方?,人1 + d1 + v1 + 人2,誰 + v1 + 人2,人1,老師
12,老師_人1 也_d1 喜歡_v1 小方_人2,老師喜歡誰?,人1 + d1 + v1 + 人2,人1 + v1 + 誰,人2,小方
13,小方_人1 喜歡_v1 同學_人2,小方喜歡誰?,人1 + v1 + 人2,人1 + v1 + 誰,人2,同學
14,同學_人1 也_d1 喜歡_v1 小方_人2,同學喜歡誰?,人1 + d1 + v1 + 人2,人1 + v1 + 誰,人2,小方
16,我_人1 的_uj1 書包_物1 裡_f1 有_v1 書_物2 也_d1 有_v2 筆_物3,我的書包裡有什麼?,人1 + uj1 + 物1 + f1 + v1 + 物2 + d1 + v2 + 物3,人1 + uj1 + 物1 + f1 + v1 + 什麼,物2,書
19,還_d1 有_v1 一個_m1 小_a1 皮球_物1 也_d2 在_p1 我_人1 的_uj1 書包_物2 裡_f1,什麼也在我的書包裡?,d1 + v1 + m1 + a1 + 物1 + d2 + p1 + 人1 + uj1 + 物2 + f1,什麼 + d2 + p1 + 人1 + uj1 + 物2 + f1,物1,皮球
20,媽媽_人1 教_v1 小方_人2 寫_v2 字_n1,誰教小方寫字?,人1 + v1 + 人2 + v2 + n1,誰 + v1 + 人2 + v2 + n1,人1,媽媽
21,媽媽_人1 教_v1 小方_人2 寫_v2 字_n1,媽媽教誰寫字?,人1 + v1 + 人2 + v2 + n1,人1 + v1 + 誰 + v2 + n1,人2,小方
22,媽媽_人1 說_v1 寫_v2 字_n1 要_v3 用_v4 心_n2,誰說寫字要用心?,人1 + v1 + v2 + n1 + v3 + v4 + n2,誰 + v1 + v2 + n1 + v3 + v4 + n2,人1,媽媽
23,媽媽_人1 說_v1 寫_v2 字_n1 要_v3 用_v4 心_n2,媽媽說寫字要如何?,人1 + v1 + v2 + n1 + v3 + v4 + n2,人1 + v1 + v2 + n1 + v3 + 如何,人1,媽媽
26,大樹_物1 高_a1,什麼很高?,物1 + a1,什麼 + a1,物1,大樹
27,花兒_物1 美_a1,什麼很美?,物1 + a1,什麼 + a1,物1,花兒
28,樹_物1 很_d1 高_a1 我們_人1 不要_df1 爬上去_v1,什麼很高不要爬上去?,物1 + d1 + a1 + 人1 + df1 + v1,什麼 + d1 + a1 + df1 + v1,物1,樹
29,花_物1 很_d1 美_a1 我們_人1 不要_df1 摘下_v1 來_zg1,什麼很美不要摘下來?,物1 + d1 + a1 + 人1 + df1 + v1 + zg1,什麼 + d1 + a1 + df1 + v1 + zg1,物1,花
30,草地_物1 很_d1 漂亮_a1 我們_人1 不要_df1 去_v1 踩_v2 它_物2,什麼很漂亮不要去採它?,物1 + d1 + a1 + 人1 + df1 + v1 + v2 + 物2,什麼 + d1 + a1 + df1 + v1 + 物2,物1,草地
32,小_a1 鳥_n1 小_a2 鳥_n2 愛_v1 唱歌_事1,小鳥愛做什麼事?,a1 + n1 + a2 + n2 + v1 + 事1,a1 + n1 + v1 + 什麼事,事1,唱歌
